UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Sergipe,Nordeste,2012,67585,101622,105693506,334986076,,
Bahia,Nordeste,2012,30874,45074,1246979225,2643129229,,
Minas Gerais,Sudeste,2012,187403,354662,1135565877,2617692450,,
Espírito Santo,Sudeste,2012,199210,351615,185718458,399474950,,
Rio de Janeiro,Sudeste,2012,28742,53666,1162806604,1888754444,,
São Paulo,Sudeste,2012,97505,253492,2505624280,4542896130,,
Paraná,Sul,2012,273841,609933,602199155,1312359488,,
Santa Catarina,Sul,2012,95292,176038,151277888,424306153,,
Rio Grande do Sul,Sul,2012,36694,57007,509341591,1220961739,,
Mato Grosso do Sul,Centro Oeste,2012,95750,164164,293299599,520071298,,
Mato Grosso,Centro Oeste,2012,30439,69782,290348407,571444568,,
Goiás,Centro Oeste,2012,37736,76695,483986836,963395625,,
Distrito Federal,Centro Oeste,2012,64319,129233,157165554,323182580,,
Rondônia,Norte,2013,22337,43431,189822099,310268036,,
Acre,Norte,2013,14603,20706,117374076,166552991,,
Amazonas,Norte,2013,46260,84518,376041268,687218944,,
Roraíma,Norte,2013,6765,9971,54393486,80215263,,
Pará,Norte,2013,95457,177675,776013320,1444583384,,
Amapá,Norte,2013,9844,20200,79965662,164138424,,
Tocantins,Norte,2013,19723,35608,160156863,289210300,,
Maranhão,Nordeste,2013,94515,182798,768093536,1486099125,,
Piauí,Nordeste,2013,39161,58555,318164960,475791576,,
Ceará,Nordeste,2013,128984,209339,1046835228,1699764895,,
Rio Grande do Norte,Nordeste,2013,44184,64452,358306428,522902120,,
Paraíba,Nordeste,2013,59451,91114,482231313,739343027,,
Pernambuco,Nordeste,2013,158445,266682,1284903812,2164403693,,
Alagoas,Nordeste,2013,70528,105061,572695570,853271684,,
Sergipe,Nordeste,2013,32988,47782,266947163,386917873,,
Bahia,Nordeste,2013,198429,373232,1611251376,3031696138,,
Minas Gerais,Sudeste,2013,210867,374233,1709855748,3036610358,,
Espírito Santo,Sudeste,2013,30202,56534,244740871,458575374,,
Rio de Janeiro,Sudeste,2013,104204,267501,845578749,2172483550,,
São Paulo,Sudeste,2013,288650,635769,2340450941,5161261581,,
Paraná,Sul,2013,99856,183633,811005812,1491992790,,
Santa Catarina,Sul,2013,39374,60752,319242580,492753019,,
